champ,url
Lissandra,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/3/36/LissandraSquare.png
Lucian,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/1/1e/LucianSquare.png
Lulu,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/9/91/LuluSquare.png
Lux,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/0/01/LuxSquare.png
Malphite,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/6/6f/MalphiteSquare.png
Malzahar,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/a/a7/MalzaharSquare.png
Maokai,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/6/64/MaokaiSquare.png
Master Yi,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/b/b2/Master_YiSquare.png
Miss Fortune,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/9/9d/MissFortuneSquare.png
Mordekaiser,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/4/4d/MordekaiserSquare.png
Morgana,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/d/d8/MorganaSquare.png
Nami,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/d/d2/NamiSquare.png
Nasus,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/5/58/NasusSquare.png
Nautilus,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/b/b5/NautilusSquare.png
Neeko,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/8/88/NeekoSquare.png
Nidalee,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/7/7c/NidaleeSquare.png
Nocturne,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/6/65/NocturneSquare.png
Nunu,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/b/be/Nunu_%26_WillumpSquare.png
Olaf,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/2/2b/OlafSquare.png
Orianna,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/b/b0/OriannaSquare.png
Ornn,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/3/31/OrnnSquare.png
Pantheon,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/9/9b/PantheonSquare.png
Poppy,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/e/e3/PoppySquare.png
Pyke,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/8/83/PykeSquare.png
Qiyana,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/c/ca/QiyanaSquare.png
Quinn,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/7/7c/QuinnSquare.png
Rakan,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/8/8b/RakanSquare.png
Rammus,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/7/7c/RammusSquare.png
Rek'Sai,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/3/3e/Rek%27SaiSquare.png
Renekton,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/f/fc/RenektonSquare.png
Rengar,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/f/f1/RengarSquare.png
Riven,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/4/46/RivenSquare.png
Rumble,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/1/13/RumbleSquare.png
Ryze,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/2/28/RyzeSquare.png
Sejuani,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/9/93/SejuaniSquare.png
Senna,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/2/21/SennaSquare.png
Sett,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/1/19/SettSquare.png
Shaco,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/9/93/ShacoSquare.png
Shen,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/d/d3/ShenSquare.png
Shyvana,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/f/f6/ShyvanaSquare.png
Singed,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/9/96/SingedSquare.png
Sion,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/6/61/SionSquare.png
Sivir,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/e/e1/SivirSquare.png
Skarner,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/8/80/SkarnerSquare.png
Sona,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/5/56/SonaSquare.png
Soraka,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/8/8d/SorakaSquare.png
Swain,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/8/8c/SwainSquare.png
Sylas,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/e/eb/SylasSquare.png
